mon_since_last,num_donations,mon_since_first,donated,num_donations_per_month,tenure_ratio
2,50,98,1,0.5102040816326531,0.02040816326530612
0,13,28,1,0.4642857142857143,0.0
1,16,35,1,0.45714285714285713,0.02857142857142857
2,20,45,1,0.4444444444444444,0.044444444444444446
1,24,77,0,0.3116883116883117,0.012987012987012988
4,4,4,0,1.0,1.0
2,7,14,1,0.5,0.14285714285714285
1,12,35,0,0.34285714285714286,0.02857142857142857
5,46,98,1,0.46938775510204084,0.05102040816326531
0,3,4,0,0.75,0.0
2,10,28,1,0.35714285714285715,0.07142857142857142
1,13,47,0,0.2765957446808511,0.02127659574468085
2,6,15,1,0.4,0.13333333333333333
2,5,11,1,0.45454545454545453,0.18181818181818182
2,14,48,1,0.2916666666666667,0.041666666666666664
2,15,49,1,0.30612244897959184,0.04081632653061224
2,6,15,1,0.4,0.13333333333333333
2,3,4,1,0.75,0.5
2,3,4,1,0.75,0.5
4,11,28,0,0.39285714285714285,0.14285714285714285
2,6,16,1,0.375,0.125
2,6,16,1,0.375,0.125
4,14,40,0,0.35,0.1
4,6,14,0,0.42857142857142855,0.2857142857142857
4,8,21,0,0.38095238095238093,0.19047619047619047
1,14,58,0,0.2413793103448276,0.017241379310344827
4,10,28,1,0.35714285714285715,0.14285714285714285
4,10,28,1,0.35714285714285715,0.14285714285714285
2,16,64,0,0.25,0.03125
2,8,28,1,0.2857142857142857,0.07142857142857142
2,12,47,1,0.2553191489361702,0.0425531914893617
4,6,16,1,0.375,0.25
4,7,22,1,0.3181818181818182,0.18181818181818182
2,13,53,1,0.24528301886792453,0.03773584905660377
2,5,16,0,0.3125,0.125
2,5,16,1,0.3125,0.125
2,5,16,0,0.3125,0.125
4,20,69,1,0.2898550724637681,0.057971014492753624
4,9,28,1,0.32142857142857145,0.14285714285714285
2,9,36,0,0.25,0.05555555555555555
2,2,2,0,1.0,1.0
2,2,2,0,1.0,1.0
2,2,2,0,1.0,1.0
2,11,46,0,0.2391304347826087,0.043478260869565216
2,11,46,1,0.2391304347826087,0.043478260869565216
2,6,22,0,0.2727272727272727,0.09090909090909091
4,5,14,1,0.35714285714285715,0.2857142857142857
4,19,69,1,0.2753623188405797,0.057971014492753624
4,8,26,1,0.3076923076923077,0.15384615384615385
2,7,28,1,0.25,0.07142857142857142
3,6,21,0,0.2857142857142857,0.14285714285714285
2,8,35,1,0.22857142857142856,0.05714285714285714
4,5,16,1,0.3125,0.25
3,16,74,0,0.21621621621621623,0.04054054054054054
2,4,14,1,0.2857142857142857,0.14285714285714285
0,2,4,0,0.5,0.0
4,7,25,0,0.28,0.16
1,9,51,0,0.17647058823529413,0.0196078431372549
2,4,16,0,0.25,0.125
2,4,16,0,0.25,0.125
4,17,71,1,0.23943661971830985,0.056338028169014086
2,2,4,0,0.5,0.5
2,2,4,1,0.5,0.5
2,2,4,1,0.5,0.5
2,4,16,1,0.25,0.125
2,2,4,0,0.5,0.5
2,2,4,0,0.5,0.5
2,4,16,0,0.25,0.125
2,4,16,0,0.25,0.125
2,4,16,0,0.25,0.125
2,6,28,1,0.21428571428571427,0.07142857142857142
2,6,28,0,0.21428571428571427,0.07142857142857142
4,2,4,0,0.5,1.0
4,2,4,0,0.5,1.0
2,7,35,1,0.2,0.05714285714285714
4,2,4,1,0.5,1.0
4,2,4,0,0.5,1.0
4,2,4,0,0.5,1.0
12,11,23,0,0.4782608695652174,0.5217391304347826
3,17,86,0,0.19767441860465115,0.03488372093023256
4,9,38,1,0.23684210526315788,0.10526315789473684
4,8,34,1,0.23529411764705882,0.11764705882352941
4,9,40,0,0.225,0.1
2,5,26,0,0.19230769230769232,0.07692307692307693
6,17,70,0,0.24285714285714285,0.08571428571428572
0,8,59,0,0.13559322033898305,0.0
2,3,14,0,0.21428571428571427,0.14285714285714285
2,10,64,0,0.15625,0.03125
4,9,46,0,0.1956521739130435,0.08695652173913043
4,5,23,0,0.21739130434782608,0.17391304347826086
4,8,40,1,0.2,0.1
2,12,82,0,0.14634146341463414,0.024390243902439025
11,24,64,0,0.375,0.171875
2,7,46,1,0.15217391304347827,0.043478260869565216
4,11,61,0,0.18032786885245902,0.06557377049180328
1,7,57,0,0.12280701754385964,0.017543859649122806
2,11,79,1,0.13924050632911392,0.02531645569620253
2,3,16,1,0.1875,0.125
4,5,26,1,0.19230769230769232,0.15384615384615385
2,6,41,1,0.14634146341463414,0.04878048780487805
2,5,33,1,0.15151515151515152,0.06060606060606061
2,4,26,0,0.15384615384615385,0.07692307692307693
2,5,34,0,0.14705882352941177,0.058823529411764705
4,8,46,1,0.17391304347826086,0.08695652173913043
4,8,48,1,0.16666666666666666,0.08333333333333333
2,2,10,1,0.2,0.2
4,5,28,0,0.17857142857142858,0.14285714285714285
2,2,10,0,0.2,0.2
2,11,88,0,0.125,0.022727272727272728
2,3,19,0,0.15789473684210525,0.10526315789473684
2,5,37,0,0.13513513513513514,0.05405405405405406
9,5,19,0,0.2631578947368421,0.47368421052631576
2,2,11,0,0.18181818181818182,0.18181818181818182
2,9,74,0,0.12162162162162163,0.02702702702702703
4,3,16,0,0.1875,0.25
4,3,16,0,0.1875,0.25
4,2,9,1,0.2222222222222222,0.4444444444444444
6,3,14,0,0.21428571428571427,0.42857142857142855
2,2,11,0,0.18181818181818182,0.18181818181818182
2,2,11,1,0.18181818181818182,0.18181818181818182
2,2,11,0,0.18181818181818182,0.18181818181818182
2,7,58,1,0.1206896551724138,0.034482758620689655
2,1,2,1,0.5,1.0
2,1,2,0,0.5,1.0
2,1,2,0,0.5,1.0
2,1,2,0,0.5,1.0
2,1,2,0,0.5,1.0
2,1,2,0,0.5,1.0
2,1,2,0,0.5,1.0
2,1,2,0,0.5,1.0
2,1,2,1,0.5,1.0
2,1,2,1,0.5,1.0
2,1,2,1,0.5,1.0
2,1,2,0,0.5,1.0
2,1,2,0,0.5,1.0
2,1,2,0,0.5,1.0
2,1,2,0,0.5,1.0
2,1,2,0,0.5,1.0
2,1,2,0,0.5,1.0
2,1,2,0,0.5,1.0
2,1,2,0,0.5,1.0
11,10,35,0,0.2857142857142857,0.3142857142857143
11,4,16,1,0.25,0.6875
4,6,41,1,0.14634146341463414,0.0975609756097561
2,3,22,0,0.13636363636363635,0.09090909090909091
4,4,26,1,0.15384615384615385,0.15384615384615385
10,4,16,0,0.25,0.625
2,4,35,0,0.11428571428571428,0.05714285714285714
4,12,88,0,0.13636363636363635,0.045454545454545456
13,8,26,0,0.3076923076923077,0.5
4,5,34,0,0.14705882352941177,0.11764705882352941
4,5,35,1,0.14285714285714285,0.11428571428571428
4,7,52,0,0.1346153846153846,0.07692307692307693
4,7,52,0,0.1346153846153846,0.07692307692307693
2,2,14,0,0.14285714285714285,0.14285714285714285
2,5,47,1,0.10638297872340426,0.0425531914893617
9,8,38,1,0.21052631578947367,0.23684210526315788
4,6,47,0,0.1276595744680851,0.0851063829787234
9,9,45,0,0.2,0.2
4,6,52,0,0.11538461538461539,0.07692307692307693
4,7,58,0,0.1206896551724138,0.06896551724137931
6,2,11,1,0.18181818181818182,0.5454545454545454
11,9,38,0,0.23684210526315788,0.2894736842105263
2,2,16,0,0.125,0.125
2,7,76,0,0.09210526315789473,0.02631578947368421
11,6,27,0,0.2222222222222222,0.4074074074074074
11,3,14,0,0.21428571428571427,0.7857142857142857
4,1,4,0,0.25,1.0
4,1,4,0,0.25,1.0
4,1,4,0,0.25,1.0
4,1,4,1,0.25,1.0
4,1,4,0,0.25,1.0
4,1,4,0,0.25,1.0
4,1,4,0,0.25,1.0
4,1,4,0,0.25,1.0
4,1,4,1,0.25,1.0
4,1,4,0,0.25,1.0
4,3,24,0,0.125,0.16666666666666666
4,1,4,0,0.25,1.0
4,1,4,0,0.25,1.0
4,1,4,0,0.25,1.0
10,8,39,0,0.20512820512820512,0.2564102564102564
14,7,26,0,0.2692307692307692,0.5384615384615384
8,10,63,0,0.15873015873015872,0.12698412698412698
4,2,14,0,0.14285714285714285,0.2857142857142857
2,4,43,0,0.09302325581395349,0.046511627906976744
8,9,58,0,0.15517241379310345,0.13793103448275862
8,8,52,1,0.15384615384615385,0.15384615384615385
11,22,98,0,0.22448979591836735,0.11224489795918367
4,3,25,1,0.12,0.16
11,17,79,1,0.21518987341772153,0.13924050632911392
9,2,11,0,0.18181818181818182,0.8181818181818182
4,5,46,0,0.10869565217391304,0.08695652173913043
7,12,86,0,0.13953488372093023,0.08139534883720931
11,2,11,0,0.18181818181818182,1.0
11,2,11,0,0.18181818181818182,1.0
2,6,75,0,0.08,0.02666666666666667
11,8,41,1,0.1951219512195122,0.2682926829268293
11,3,16,1,0.1875,0.6875
12,13,59,0,0.22033898305084745,0.2033898305084746
2,3,35,0,0.08571428571428572,0.05714285714285714
16,8,28,0,0.2857142857142857,0.5714285714285714
11,7,37,0,0.1891891891891892,0.2972972972972973
4,3,28,0,0.10714285714285714,0.14285714285714285
12,12,58,0,0.20689655172413793,0.20689655172413793
4,4,41,0,0.0975609756097561,0.0975609756097561
11,14,73,1,0.1917808219178082,0.1506849315068493
4,5,58,0,0.08620689655172414,0.06896551724137931
4,4,43,1,0.09302325581395349,0.09302325581395349
3,2,23,0,0.08695652173913043,0.13043478260869565
11,8,46,0,0.17391304347826086,0.2391304347826087
4,7,82,0,0.08536585365853659,0.04878048780487805
13,4,21,0,0.19047619047619047,0.6190476190476191
16,7,28,0,0.25,0.5714285714285714
7,2,16,0,0.125,0.4375
4,5,58,0,0.08620689655172414,0.06896551724137931
4,5,58,0,0.08620689655172414,0.06896551724137931
4,4,46,0,0.08695652173913043,0.08695652173913043
14,13,57,0,0.22807017543859648,0.24561403508771928
4,3,34,0,0.08823529411764706,0.11764705882352941
14,18,78,0,0.23076923076923078,0.1794871794871795
11,8,48,0,0.16666666666666666,0.22916666666666666
14,16,70,0,0.22857142857142856,0.2
14,4,22,1,0.18181818181818182,0.6363636363636364
14,5,26,0,0.19230769230769232,0.5384615384615384
8,2,16,0,0.125,0.5
11,2,14,0,0.14285714285714285,0.7857142857142857
4,2,23,0,0.08695652173913043,0.17391304347826086
14,3,19,1,0.15789473684210525,0.7368421052631579
16,12,50,0,0.24,0.32
11,4,28,0,0.14285714285714285,0.39285714285714285
11,5,35,0,0.14285714285714285,0.3142857142857143
2,4,70,0,0.05714285714285714,0.02857142857142857
14,5,28,0,0.17857142857142858,0.5
14,2,14,0,0.14285714285714285,1.0
14,2,14,0,0.14285714285714285,1.0
14,2,14,0,0.14285714285714285,1.0
14,6,34,0,0.17647058823529413,0.4117647058823529
11,5,37,1,0.13513513513513514,0.2972972972972973
4,5,74,0,0.06756756756756757,0.05405405405405406
11,3,23,0,0.13043478260869565,0.4782608695652174
